created Logger
gfxInitDefault()
initializing Console
getting font string
Creating Graphics object
Creating Input object
Initializing global api
initialized console
Loading cart
Calling Cart Constructor
getting file contents
Got file contents... parsing cart
Copying data to spritesheet
Copying data to sprite flags
Copying data to sprite flags
Cart Loaded
Starting main loop
block name: ClearFb ms: 32.654826
block name: SetInputState ms: 31.947599
block name: CallLuaUpdate ms: 33.377591
block name: CallLuaDraw ms: 52.387471
block name: GetFb ms: 31.721641
block name: GraphicsFlip ms: 33.154625
block name: gfxFlushBuffers ms: 32.320182
block name: gfxSwapBuffers ms: 35.067655
block name: gspWaitForVBlank ms: 32.378911
block name: PostFlip ms: 31.703984
block name: PreUpdate ms: 36.730811
block name: ClearFb ms: 33.176884
block name: SetInputState ms: 33.483323
block name: CallLuaUpdate ms: 32.259275
block name: CallLuaDraw ms: 53.201526
block name: GetFb ms: 41.689727
block name: GraphicsFlip ms: 40.744069
block name: gfxFlushBuffers ms: 31.955819
block name: gfxSwapBuffers ms: 32.099036
block name: gspWaitForVBlank ms: 34.080820
block name: PostFlip ms: 35.588296
block name: PreUpdate ms: 36.898920
block name: ClearFb ms: 32.667186
block name: SetInputState ms: 31.446114
block name: CallLuaUpdate ms: 32.175809
block name: CallLuaDraw ms: 53.843982
block name: GetFb ms: 32.144144
block name: GraphicsFlip ms: 32.964130
block name: gfxFlushBuffers ms: 32.237560
block name: gfxSwapBuffers ms: 32.118192
block name: gspWaitForVBlank ms: 49.044978
block name: PostFlip ms: 31.933985
block name: PreUpdate ms: 51.723278
block name: ClearFb ms: 146.234533
block name: SetInputState ms: 155.788955
block name: CallLuaUpdate ms: 127.951761
block name: CallLuaDraw ms: 151.198006
block name: GetFb ms: 136.008980
block name: GraphicsFlip ms: 32.794947
block name: gfxFlushBuffers ms: 32.453171
block name: gfxSwapBuffers ms: 31.878269
block name: gspWaitForVBlank ms: 38.008793
block name: PostFlip ms: 31.644464
block name: PreUpdate ms: 36.372252
block name: ClearFb ms: 32.644039
block name: SetInputState ms: 31.645963
block name: CallLuaUpdate ms: 32.373205
block name: CallLuaDraw ms: 56.222713
block name: GetFb ms: 31.622078
block name: GraphicsFlip ms: 44.579565
block name: gfxFlushBuffers ms: 32.117677
block name: gfxSwapBuffers ms: 31.853362
block name: gspWaitForVBlank ms: 40.059340
block name: PostFlip ms: 33.057844
block name: PreUpdate ms: 37.411206
block name: ClearFb ms: 32.844523
block name: SetInputState ms: 31.741080
block name: CallLuaUpdate ms: 32.596045
block name: CallLuaDraw ms: 53.202548
block name: GetFb ms: 33.895055
block name: GraphicsFlip ms: 36.050580
block name: gfxFlushBuffers ms: 31.894322
block name: gfxSwapBuffers ms: 33.819139
block name: gspWaitForVBlank ms: 44.624718
block name: PostFlip ms: 31.969478
block name: PreUpdate ms: 37.228111
block name: ClearFb ms: 38.641089
block name: SetInputState ms: 42.798876
block name: CallLuaUpdate ms: 32.535137
block name: CallLuaDraw ms: 52.947416
block name: GetFb ms: 31.702738
block name: GraphicsFlip ms: 33.077224
block name: gfxFlushBuffers ms: 32.417723
block name: gfxSwapBuffers ms: 32.044327
block name: gspWaitForVBlank ms: 35.789547
block name: PostFlip ms: 31.430337
block name: PreUpdate ms: 36.729595
block name: ClearFb ms: 32.487426
block name: SetInputState ms: 31.834997
block name: CallLuaUpdate ms: 32.815684
block name: CallLuaDraw ms: 54.346757
block name: GetFb ms: 31.964211
block name: GraphicsFlip ms: 33.458878
block name: gfxFlushBuffers ms: 44.293774
block name: gfxSwapBuffers ms: 31.695047
block name: gspWaitForVBlank ms: 40.063510
block name: PostFlip ms: 31.538546
block name: PreUpdate ms: 39.794212
block name: ClearFb ms: 32.831051
block name: SetInputState ms: 32.323091
block name: CallLuaUpdate ms: 33.058247
block name: CallLuaDraw ms: 53.980768
block name: GetFb ms: 31.764988
block name: GraphicsFlip ms: 32.954007
block name: gfxFlushBuffers ms: 31.969067
block name: gfxSwapBuffers ms: 31.520322
block name: gspWaitForVBlank ms: 32.644271
block name: PostFlip ms: 32.501651
block name: PreUpdate ms: 37.033222
block name: ClearFb ms: 32.255463
block name: SetInputState ms: 49.081738
block name: CallLuaUpdate ms: 35.319095
block name: CallLuaDraw ms: 54.343900
block name: GetFb ms: 32.169805
block name: GraphicsFlip ms: 33.158041
block name: gfxFlushBuffers ms: 32.135200
block name: gfxSwapBuffers ms: 32.002471
block name: gspWaitForVBlank ms: 47.891743
block name: PostFlip ms: 32.030982
block name: PreUpdate ms: 36.451711
block name: ClearFb ms: 32.582625
block name: SetInputState ms: 31.585392
block name: CallLuaUpdate ms: 32.832312
block name: CallLuaDraw ms: 52.837014
block name: GetFb ms: 34.650448
block name: GraphicsFlip ms: 33.018779
block name: gfxFlushBuffers ms: 31.985344
block name: gfxSwapBuffers ms: 43.656324
block name: gspWaitForVBlank ms: 39.458755
block name: PostFlip ms: 32.816147
block name: PreUpdate ms: 36.867105
block name: ClearFb ms: 33.184344
block name: SetInputState ms: 32.305979
block name: CallLuaUpdate ms: 32.931405
